customer_id,first_name,last_name,age,occupation,city,risk_category,created_at
C_100000,Lisa,Thomas,26,Sales Associate,Manchester,LOW,2023-08-03 19:51:22
C_100001,Leo,Baker,40,Administrative Assistant,Leeds,LOW,2016-04-18 20:26:03
C_100002,Mia,Watson,38,Accountant,Leicester,MEDIUM,2024-07-05 05:48:46
C_100003,Sandra,Hughes,37,Electrician,Birmingham,LOW,2017-01-31 13:04:12
C_100004,William,Carter,40,Driver,Birmingham,LOW,2025-04-20 22:53:17
C_100005,Karen,Clarke,48,Teacher,Belfast,LOW,2019-03-31 02:54:18
C_100006,Lily,Evans,36,Plumber,Manchester,LOW,2018-05-08 09:43:13
C_100007,Sandra,Brown,45,Sales Associate,Manchester,LOW,2019-01-10 23:18:06
C_100008,Sandra,Cooper,32,Teacher,Leeds,LOW,2025-01-10 11:29:07
C_100009,Joseph,Green,47,Administrative Assistant,Belfast,LOW,2025-12-02 23:24:19
C_100010,Daniel,Johnson,34,Chef,Edinburgh,LOW,2022-07-22 15:35:55
C_100011,Jessica,Lewis,24,Teacher,Coventry,LOW,2023-01-14 05:49:29
C_100012,Margaret,Hughes,45,Unemployed,Edinburgh,LOW,2022-03-16 00:25:04
C_100013,Margaret,Thomas,51,Accountant,Leicester,LOW,2017-04-01 10:41:09
C_100014,Charles,Roberts,18,Accountant,Leicester,LOW,2017-03-11 22:45:59
C_100015,John,King,45,Retired,Edinburgh,MEDIUM,2021-12-12 00:01:14
C_100016,Sarah,Harris,41,Plumber,Nottingham,HIGH,2025-01-17 11:11:46
C_100017,Isabella,Williams,27,Registered Nurse,Birmingham,LOW,2025-02-24 02:31:11
C_100018,Michelle,Watson,49,Doctor,Edinburgh,LOW,2021-12-01 22:05:07
C_100019,Charles,Wright,57,Driver,Belfast,LOW,2020-11-29 18:50:39
C_100020,Christopher,Thomas,35,Software Engineer,Cardiff,LOW,2022-08-07 08:01:04
C_100021,Oliver,Brown,47,Registered Nurse,Nottingham,LOW,2019-09-15 02:34:47
C_100022,Jennifer,White,31,Chef,Manchester,LOW,2025-11-23 20:47:27
C_100023,Susan,Patterson,30,Construction Worker,Leeds,LOW,2023-05-23 15:41:38
C_100024,William,Hughes,26,Teacher,Belfast,LOW,2023-03-31 03:34:59
C_100025,Arthur,Lewis,69,Retired,Leeds,LOW,2017-07-28 15:21:36
C_100026,Ava,Green,34,Registered Nurse,Bristol,LOW,2025-08-07 20:02:12
C_100027,Muhammad,Williams,49,Software Engineer,Birmingham,MEDIUM,2025-07-08 08:36:22
C_100028,Isla,Hill,41,Driver,Nottingham,LOW,2020-04-01 00:04:42
C_100029,Richard,Edwards,25,Chef,Belfast,LOW,2017-09-26 06:54:50
C_100030,James,Wright,46,Teacher,London,LOW,2021-08-21 19:20:15
C_100031,Isla,Williams,23,Sales Associate,Newcastle,LOW,2025-12-25 20:44:28
C_100032,Isabella,Baker,47,Construction Worker,Belfast,LOW,2021-11-11 11:31:07
C_100033,Sophia,Wright,47,Accountant,Newcastle,LOW,2023-03-28 10:55:21
C_100034,Daniel,Harris,43,Chef,Leeds,LOW,2017-06-26 12:42:25
C_100035,Harry,White,38,Chef,Sheffield,LOW,2025-01-18 23:48:37
C_100036,Linda,Smith,51,Business Owner,Nottingham,LOW,2017-04-17 03:53:49
C_100037,Donna,Cooper,30,Administrative Assistant,Sheffield,LOW,2023-09-16 23:05:30
C_100038,Sophia,King,39,Teacher,Birmingham,LOW,2025-04-20 10:04:25
C_100039,Noah,Smith,37,Accountant,Manchester,LOW,2022-03-09 15:34:17
C_100040,Barbara,Smith,47,Teacher,Coventry,LOW,2022-03-13 05:23:30
C_100041,Charles,Wilson,24,Teacher,Nottingham,LOW,2023-08-25 09:05:06
C_100042,Betty,Evans,34,Construction Worker,Cardiff,LOW,2018-08-27 05:54:59
C_100043,Ava,Hill,52,Business Owner,Newcastle,MEDIUM,2025-08-17 17:08:14
C_100044,Lily,Thompson,56,Project Manager,Coventry,LOW,2018-07-21 08:06:59
